Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
linux,Line,REFACTOR,0.95,0.95,369.96,2298546.31,1516.1,0.82,0.87,640
linux,Module,REFACTOR,0.99,0.99,2.72,97.63,9.88,0.87,0.91,640
lock,Line,TESTING,0.88,0.88,2096.28,219495775.52,14815.39,0.86,0.87,492
lock,Module,TESTING,0.77,0.77,19.93,62587.0,250.17,0.89,0.91,492
cinder,Line,TESTING,0.98,0.98,1669.25,11636887.61,3411.29,0.43,0.6,181
cinder,Module,TESTING,0.95,0.95,82.11,41898.42,204.69,0.47,0.61,181
nova,Line,TESTING,0.91,0.91,29946.47,7316241965.84,85535.03,0.38,0.52,234
nova,Module,TESTING,0.92,0.92,516.8,1900153.46,1378.46,0.41,0.56,234
kubernetes,Line,TESTING,0.94,0.94,33136.54,9577791678.82,97866.19,0.54,0.64,641
kubernetes,Module,TESTING,0.97,0.97,240.5,412960.73,642.62,0.63,0.75,641
angular.js,Line,TESTING,0.96,0.96,3228.48,42813186.76,6543.18,0.32,0.42,204
angular.js,Module,TESTING,0.98,0.98,22.62,3126.45,55.91,0.5,0.69,204
react,Line,TESTING,0.91,0.91,48619.99,61708995734.91,248412.95,0.48,0.55,130
react,Module,TESTING,0.96,0.96,685.86,11188056.68,3344.86,0.48,0.58,130
brew,Line,TESTING,0.89,0.89,741.4,5092644.12,2256.69,0.32,0.38,152
